brand,model,price_egp,cpu,cpu_cores,cpu_max_speed,cpu_score,gpu,vram,ram,hard_capacity,display_size,refresh_rates,resolution,warranty,warranty_duration,windows_11,seller,link_to_product
ASUS,TUF Gaming F15 FX507VU-LP163W,"46,666",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/asus-tuf-gaming-f15-fx507vu-lp163w-gaming-laptop-intel-core-i7-13620h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-15-6-inch-fhd-win-11-gray
Lenovo,LOQ 15IRX9 83DV00AVED,"46,499",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,0,0,0,B.TECH,https://beta.btech.com/en/p/lenovo-loq-15irx9-gaming-laptop-15-6-inch-144hz-fhd-luna-grey/1e16446b-d162-4257-84af-505793a5cb32
Asus,TUF Gaming W11 FA507NUR-LP007W,"46,449",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/asus-tuf-gaming-w11-fa507nur-lp007w-laptop-15-6-inch-144hz-fhd-display-jaeger-gray/82379a6b-8e52-4530-80dc-8ae69cb7f9d4
HP,Victus 16-E1011NE,"46,444",AMD Ryzen 7 6800H,8,4.7,"23,001",NVIDIA GeForce RTX 3050,4,16,512GB,16.1,144Hz,1920x1080,1,1,0,kimostore,https://kimostore.net/products/hp-victus-16-e1011ne-gaming-laptop-amd-ryzen-7-6800h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-4gb-16-1-inch-fhd-ips-144hz-performance-blue?_pos=1&_fid=80ebf0845&_ss=c
HP,Victus 16-E1012NE,"46,444",AMD Ryzen 7 6800H,8,4.7,"23,001",NVIDIA GeForce RTX 3050,4,16,512GB,16.1,144Hz,1920x1200,1,1,0,kimostore,https://kimostore.net/products/hp-victus-16-e1012ne-gaming-laptop-amd-ryzen-7-6800h-16gb-ram-m-2-nvme-512gb-nvidia-rtx-3050-4gb-16-1-inch-fhd-ips-144hz-mica-silver?_pos=2&_fid=80ebf0845&_ss=c
ASUS,Vivobook S 14 Flip TP3402VA-EG009W,"46,000",Intel Core i9 13900H,14,5.4,"27,597",Intel UHD Graphics,0,16,512GB,14,60Hz,1920x1200,1,1,1,kimostore,https://kimostore.net/products/asus-vivobook-s-14-flip-tp3402va-eg009w-laptop-intel-core-i9-13900h-16gb-ram-m-2-nvme-1tb-intel-uhd-graphics-14-0-inch-wuxga-ips-60hz-win11?_pos=4&_fid=80ebf0845&_ss=c
HP,Victus 15-fa1006ne,"46,000",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-laptop-intelr-coretm-i7-13700h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-win-11-15-fa1006ne-performance-blue.html
Asus,TUF F15 FX507VU-LP163W 90NR0CJ8-M00AL0,"46,000.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,TECHNOLOGYVALLEY,https://tv-it.com/products/laptop-asus-tuf-gamimg-fx507vu-lp163w
HP,Victus 15-fa1006ne,"45,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3060,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/offer/hp-victus-15-fa1006ne-laptop-intelr-coretm-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-win11-blue.html
Lenovo,LOQ 15IRX9,"45,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,0,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-intel-core-i7-13650hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-15-6-inch-fhd
